frame_id	timestamp	hands	fingers	tools	gestures	hand_label	hand_id	hand_pos	hand_pitch	hand_roll	hand_yaw	hand_arm_dir	hand_wrist_pos	hand_elbow_pos	Thumb_id	Thumb_length	Thumb_width	Thumb_1	Thumb_2	Thumb_3	Thumb_4	Thumb_5	Index_id	Index_length	Index_width	Index_1	Index_2	Index_3	Index_4	Index_5	Middle_id	Middle_length	Middle_width	Middle_1	Middle_2	Middle_3	Middle_4	Middle_5	Ring_id	Ring_length	Ring_width	Ring_1	Ring_2	Ring_3	Ring_4	Ring_5	Pinky_id	Pinky_length	Pinky_width	Pinky_1	Pinky_2	Pinky_3	Pinky_4	Pinky_5	time_s
557515	2920066	1	5	0	0	Right	185	(25.3163, 327.678, 77.7134)	42.33132	5.753457	72.162186	(0.829078, 0.28649, -0.480159)	(-19.5654, 314.094, 100.955)	(-233.718, 240.093, 224.982)	1850	49.85844	19.372673	(-32.3053, 316.47, 74.624)	(-32.3053, 316.47, 74.624)	(-0.908207, 313.059, 38.8033)	(26.896, 296.852, 33.4927)	(39.1563, 282.514, 45.5519)	1851	56.259686	18.504776	(-21.5239, 331.797, 87.3949)	(37.7348, 346.491, 52.3788)	(42.482, 312.396, 29.9226)	(25.7912, 298.272, 37.4461)	(13.2305, 296.285, 47.7151)	1852	64.103401	18.17415	(-14.7148, 328.807, 96.5306)	(45.8652, 338.946, 70.4118)	(48.5003, 303.354, 41.2127)	(24.7791, 290.325, 43.9739)	(8.80135, 289.7, 52.1913)	1853	61.637127	17.293856	(-9.17244, 323.036, 105.139)	(48.3546, 328.019, 89.11)	(51.5785, 296.326, 60.611)	(26.7515, 287.122, 59.4885)	(10.0534, 288.848, 65.6281)	1854	48.322369	15.361754	(-6.17804, 311.28, 111.322)	(48.7613, 314.194, 104.22)	(50.2032, 292.142, 78.6087)	(32.0152, 290.395, 74.5759)	(16.5869, 294.947, 78.2053)	2.920066
557516	3024300	1	5	0	0	Right	185	(28.5266, 298.259, 37.7801)	34.071528	5.551091	68.965589	(0.554529, 0.352782, -0.753686)	(-15.6979, 287.52, 63.6245)	(-158.934, 196.396, 258.303)	1850	49.85844	19.372673	(-28.9701, 286.034, 37.4917)	(-28.9701, 286.034, 37.4917)	(1.56466, 278.182, 1.62393)	(29.5104, 261.858, -2.44313)	(42.4169, 249.451, 11.0024)	1851	56.259686	18.504776	(-18.177, 303.126, 47.7691)	(40.1798, 313.492, 9.81276)	(45.0559, 276.674, -7.79247)	(28.7376, 263.502, 1.94892)	(16.4008, 262.791, 12.648)	1852	64.103401	18.17415	(-11.1517, 301.526, 57.0884)	(48.763, 308.643, 28.5486)	(51.5589, 269.405, 4.48789)	(28.1212, 256.527, 9.47995)	(12.3067, 256.833, 18.0246)	1853	61.637127	17.293856	(-5.3614, 297.084, 66.3009)	(51.7699, 300.47, 48.5332)	(54.9224, 265.142, 24.6777)	(30.2182, 255.573, 25.3706)	(13.6161, 257.939, 31.5569)	1854	48.322369	15.361754	(-2.07539, 286.345, 73.9999)	(52.6695, 288.9, 65.4138)	(55.4234, 263.501, 43.2427)	(37.3983, 260.443, 39.26)	(21.8189, 265.002, 42.1606)	3.0243
557517	3128610	1	5	0	0	Right	185	(20.0054, 306.169, -8.50233)	68.405985	24.429022	73.412841	(0.403907, 0.283875, -0.869641)	(-17.4032, 275.426, 11.3607)	(-121.733, 202.1, 235.991)	1850	49.85844	19.372673	(-31.7884, 278.914, -13.9805)	(-31.7884, 278.914, -13.9805)	(-3.37398, 292.484, -49.8835)	(27.4897, 287.392, -59.1287)	(44.5633, 275.58, -50.7467)	1851	56.259686	18.504776	(-25.3045, 293.992, 1.66781)	(24.7944, 332.4, -29.4544)	(38.1888, 306.474, -58.3979)	(26.9461, 286.746, -54.0264)	(16.166, 279.055, -44.4446)	1852	64.103401	18.17415	(-17.3946, 291.482, 10.0281)	(35.8321, 324.308, -13.302)	(47.3256, 297.671, -49.1449)	(28.7663, 277.781, -49.2184)	(14.1998, 270.762, -41.3601)	1853	61.637127	17.293856	(-9.89926, 286.095, 17.3042)	(42.5328, 311.227, 2.79805)	(54.0106, 288.553, -31.5707)	(33.2544, 272.448, -35.0573)	(17.1621, 267.626, -28.9509)	1854	48.322369	15.361754	(-3.20197, 274.825, 20.9819)	(47.8968, 295.509, 14.7901)	(56.0168, 280.793, -14.5659)	(39.3202, 274.18, -19.8208)	(23.3528, 272.876, -15.9142)	3.12861
557520	3155753	1	5	0	0	Right	185	(16.6855, 304.792, -10.6674)	70.089093	25.061499	74.24734	(0.383599, 0.264514, -0.884808)	(-20.2315, 272.961, 8.38568)	(-119.316, 204.637, 236.934)	1850	49.85844	19.372673	(-35.015, 277.448, -16.5663)	(-35.015, 277.448, -16.5663)	(-7.53422, 293.156, -52.3239)	(23.0282, 289.481, -63.1126)	(40.8928, 277.8, -56.3531)	1851	56.259686	18.504776	(-28.3914, 291.876, -0.373567)	(20.9988, 331.94, -30.5265)	(34.4215, 307.782, -60.9491)	(23.601, 287.611, -57.6748)	(13.0571, 279.159, -48.4792)	1852	64.103401	18.17415	(-20.342, 289.059, 7.75273)	(32.3264, 323.23, -14.9049)	(43.3276, 298.156, -52.0074)	(24.8252, 278.22, -52.5459)	(10.4222, 270.838, -44.7187)	1853	61.637127	17.293856	(-12.7057, 283.414, 14.677)	(39.3476, 309.508, 0.510869)	(54.2649, 290.875, -34.948)	(34.7312, 273.94, -40.7766)	(18.7249, 268.186, -35.2816)	1854	48.322369	15.361754	(-5.88471, 272.041, 17.7624)	(44.9871, 293.322, 11.7279)	(54.3487, 280.401, -18.0998)	(38.069, 273.626, -24.3596)	(22.0405, 271.765, -20.9621)	3.155753
557523	3182853	1	5	0	0	Right	185	(11.4403, 301.547, -10.6246)	69.382524	24.850228	72.268211	(0.37794, 0.2485, -0.891857)	(-23.5279, 268.066, 9.25739)	(-121.151, 203.877, 239.626)	1850	49.85844	19.372673	(-39.6575, 272.79, -14.801)	(-39.6575, 272.79, -14.801)	(-16.3235, 292.008, -51.77)	(12.9424, 291.707, -66.1707)	(32.575, 281.506, -62.7349)	1851	56.259686	18.504776	(-32.6684, 286.957, 1.46848)	(13.9578, 329.361, -29.8603)	(26.7562, 306.765, -61.7181)	(16.877, 286.054, -58.8669)	(7.08443, 276.794, -49.6195)	1852	64.103401	18.17415	(-24.1459, 284.164, 9.10606)	(26.2993, 320.572, -15.0733)	(36.1819, 296.9, -53.3916)	(18.2723, 276.424, -53.6129)	(4.50015, 268.384, -45.3127)	1853	61.637127	17.293856	(-16.0118, 278.566, 15.4802)	(34.4796, 306.648, -0.42987)	(49.7448, 290.675, -37.0205)	(30.8178, 273.106, -42.9751)	(15.2882, 266.682, -36.8881)	1854	48.322369	15.361754	(-8.71258, 267.328, 17.8924)	(41.1452, 290.337, 10.0163)	(51.1573, 279.171, -20.3048)	(35.2411, 271.805, -26.8264)	(19.3836, 269.118, -23.1873)	3.182853
557525	3200971	1	5	0	0	Right	185	(8.44264, 298.107, -9.93403)	68.834941	25.207968	69.686269	(0.384655, 0.233339, -0.893081)	(-23.941, 262.653, 10.8842)	(-123.298, 202.381, 241.569)	1850	49.85844	19.372673	(-41.4224, 267.068, -12.2717)	(-41.4224, 267.068, -12.2717)	(-23.0829, 289.708, -50.1082)	(4.28026, 293.054, -67.5445)	(25.1526, 284.959, -67.1962)	1851	56.259686	18.504776	(-34.3081, 281.238, 3.94068)	(8.74017, 326.366, -28.6771)	(21.3019, 305.517, -61.7951)	(12.7647, 284.16, -59.406)	(3.91773, 273.999, -50.1518)	1852	64.103401	18.17415	(-25.3047, 278.704, 11.1021)	(22.1775, 317.889, -14.6849)	(31.2153, 295.389, -53.9073)	(14.2809, 274.099, -53.7129)	(1.31302, 265.246, -44.9571)	1853	61.637127	17.293856	(-16.6213, 273.375, 16.9612)	(31.692, 304.09, -0.745537)	(46.4086, 290.01, -38.325)	(28.1241, 271.64, -43.8523)	(13.2386, 264.431, -37.0739)	1854	48.322369	15.361754	(-8.70473, 262.448, 18.7847)	(39.6006, 287.916, 9.0242)	(49.1393, 278.042, -21.8921)	(33.3781, 269.981, -27.9515)	(17.867, 266.44, -23.6167)	3.200971
557530	3246129	1	5	0	0	Left	186	(-7.59928, 270.897, 12.0157)	8.635826	10.620597	21.977397	(0.437035, 0.282102, -0.85406)	(-34.574, 266.646, 57.6567)	(-149.296, 192.594, 281.847)	1860	50.668617	19.687469	(-8.64342, 259.801, 70.7049)	(-8.64342, 259.801, 70.7049)	(34.6692, 251.425, 50.4785)	(67.0933, 250.42, 43.6603)	(89.6652, 253.191, 44.3999)	1861	57.173882	18.805471	(-15.421, 278.778, 59.5226)	(23.1827, 279.779, -0.682878)	(38.6067, 300.986, -33.1942)	(50.3113, 298.442, -53.4112)	(57.56, 287.622, -63.7226)	1862	65.14505	18.469471	(-25.1774, 279.06, 52.5912)	(3.34242, 278.831, -8.95121)	(9.22766, 302.022, -49.2446)	(17.7043, 302.162, -75.5591)	(25.0011, 293.667, -89.9945)	1863	62.638702	17.574873	(-35.4104, 276.52, 46.9793)	(-18.3264, 274.959, -11.4544)	(-17.7286, 294.352, -50.319)	(-12.966, 296.109, -76.7687)	(-7.4835, 290.557, -93.1724)	1864	49.107586	15.611376	(-45.4365, 267.45, 44.0327)	(-37.5947, 267.086, -11.7925)	(-47.3207, 279.117, -42.4916)	(-49.0845, 278.933, -61.4242)	(-47.3825, 273.112, -77.046)	3.246129
557534	3282364	1	5	0	0	Left	186	(-8.47657, 267.679, 8.8936)	12.577334	14.403372	21.531028	(0.437104, 0.297576, -0.848757)	(-35.0491, 259.695, 54.2694)	(-149.789, 181.581, 277.068)	1860	50.668617	19.687469	(-8.70861, 253.988, 67.0411)	(-8.70861, 253.988, 67.0411)	(35.1879, 249.88, 46.7564)	(67.5749, 251.49, 39.8778)	(89.8673, 255.923, 40.9363)	1861	57.173882	18.805471	(-16.7229, 272.954, 56.6887)	(21.6434, 279.09, -3.36397)	(36.0414, 301.436, -35.5817)	(47.7745, 300.54, -55.9222)	(55.7712, 291.185, -67.0788)	1862	65.14505	18.469471	(-26.4873, 272.903, 49.7631)	(1.89438, 277.216, -11.6924)	(6.52392, 302.069, -51.1493)	(14.5269, 305.211, -77.4249)	(22.0462, 299.61, -93.1052)	1863	62.638702	17.574873	(-36.5419, 269.95, 44.032)	(-19.4804, 272.055, -14.3912)	(-20.0259, 293.224, -52.3181)	(-15.3962, 296.728, -78.6172)	(-9.59992, 292.583, -95.3262)	1864	49.107586	15.611376	(-45.9613, 260.385, 40.6789)	(-38.1964, 262.968, -15.0984)	(-48.9546, 275.78, -45.1297)	(-50.904, 276.418, -64.0342)	(-49.0167, 271.52, -79.949)	3.282364
557536	3300359	1	5	0	0	Left	186	(-9.51468, 266.142, 7.43537)	13.540878	15.437817	21.324578	(0.432574, 0.298991, -0.850579)	(-35.8989, 257.221, 52.7464)	(-149.449, 178.736, 276.023)	1860	50.668617	19.687469	(-9.44923, 251.854, 65.4396)	(-9.44923, 251.854, 65.4396)	(34.9446, 250.511, 45.8786)	(67.286, 253.784, 39.3868)	(89.2537, 259.424, 41.2115)	1861	57.173882	18.805471	(-17.8098, 270.779, 55.2881)	(20.3858, 278.213, -4.72672)	(34.5599, 300.54, -37.0573)	(46.1911, 300.435, -57.4755)	(54.4385, 292.027, -69.1891)	1862	65.14505	18.469471	(-27.5781, 270.625, 48.3695)	(0.665712, 276.072, -13.0593)	(4.97335, 301.356, -52.2791)	(12.4684, 306.187, -78.448)	(19.7218, 302.519, -94.8104)	1863	62.638702	17.574873	(-37.5838, 267.552, 42.6159)	(-20.6162, 270.559, -15.7952)	(-21.3298, 292.104, -53.5077)	(-16.7527, 296.233, -79.7252)	(-10.9291, 292.722, -96.5692)	1864	49.107586	15.611376	(-46.8342, 257.855, 39.1718)	(-39.1679, 261.148, -16.5818)	(-50.3063, 274.106, -46.4114)	(-52.4511, 275.049, -65.282)	(-50.7057, 270.567, -81.3349)	3.300359
557540	3336558	1	5	0	0	Left	186	(-11.5733, 262.95, 5.34375)	13.869737	15.084953	20.925994	(0.428689, 0.286685, -0.85676)	(-37.6072, 253.784, 50.8084)	(-150.138, 178.53, 275.708)	1860	50.668617	19.687469	(-11.0765, 248.171, 63.2225)	(-11.0765, 248.171, 63.2225)	(33.5778, 251.317, 44.4782)	(65.6466, 257.297, 38.5915)	(86.6769, 265.043, 42.5206)	1861	57.173882	18.805471	(-19.424, 267.225, 53.3051)	(18.2839, 274.966, -6.97876)	(32.5143, 296.515, -39.8083)	(43.515, 298.568, -60.4715)	(51.8111, 293.173, -73.8129)	1862	65.14505	18.469471	(-29.2532, 267.181, 46.4717)	(-1.51966, 273, -15.1552)	(2.83169, 298.717, -54.0873)	(9.38348, 306.004, -79.9387)	(15.7612, 305.37, -97.0476)	1863	62.638702	17.574873	(-39.3252, 264.21, 40.7807)	(-22.8539, 267.623, -17.7501)	(-23.1037, 289.462, -55.2987)	(-18.8621, 294.983, -81.3157)	(-13.5347, 293.181, -98.5881)	1864	49.107586	15.611376	(-48.6574, 254.592, 37.3364)	(-41.462, 258.317, -18.4527)	(-52.8222, 271.716, -48.0023)	(-55.4649, 273.394, -66.7583)	(-54.4526, 269.901, -83.1167)	3.336558
